# 0x1 unused
0x2 ank1a
0x3 ank1b
0x4 ank2a
0x5 ank2b
# 0x103 unused
0x104 marblesandstonewall stonework
# 0x105 - 0x107 unused
0x108 [n/a] lighting
# 0x109 unused
0x10a marblesandstonewallm stonework
# 0x10b - 0x111 unused
0x112 marblesandstonearch stonework
# 0x113 - 0x11a unused
0x11b marblesandstonepillar stonework
# 0x11c - 0x139 unused
0x13a [n/a] lighting
0x13b [n/a] lighting
# 0x13c - 0x153 unused
0x154 [n/a] lighting
0x155 [n/a] lighting
0x156 [n/a] lighting
0x157 [n/a] lighting
0x158 sandstonewall stonework
# 0x159 - 0x15b unused
0x15c [n/a] lighting
0x15d [n/a] lighting
0x15e sandstonewall stonework
# 0x15f - 0x162 unused
0x163 [n/a] lighting
0x164 fancysandstonewallm stonework
# 0x165 - 0x167 unused
0x168 sandstonewallm stonework
# 0x169 - 0x16b unused
0x16c sandstonearch stonework
# 0x16d - 0x177 unused
0x178 largesandstonewall stonework
0x179 sandstonebattlement stonework
# 0x17a - 0x193 unused
0x194 sandstonepillar stonework
# 0x195 - 0x198 unused
0x199 sandstonewallp stonework
# 0x19a - 0x1c3 unused
0x1c4 [n/a] lighting
0x1c5 [n/a] lighting
# 0x1c6 - 0x1ce unused
0x1cf cavestonewall stonework
# 0x1d0 - 0x1d2 unused
0x1d3 [n/a] lighting
# 0x1d4 unused
0x1d5 cavestonearch stonework
# 0x1d6 - 0x1f6 unused
0x1f7 wallofstone
# 0x1f8 - 0x206 unused
0x207 [n/a] lighting
0x208 [n/a] lighting
0x209 [n/a] lighting
# 0x20a - 0x251 unused
0x252 [n/a] lighting
0x253 [n/a] lighting
0x254 [n/a] lighting
0x255 gammedsandstonewall stonework
# 0x256 - 0x290 unused
0x291 whitemarblewall stonework
# 0x292 - 0x294 unused
0x295 [n/a] lighting
# 0x296 - 0x29a unused
0x29b [n/a] lighting
# 0x29c unused
0x29d fancywhitemarblewall stonework
# 0x29e - 0x2a0 unused
0x2a1 whitemarblewallm stonework
# 0x2a2 - 0x2a6 unused
0x2a7 whitemarblepillar stonework
# 0x2a8 - 0x2ab unused
0x2ac [n/a] lighting
# 0x2ad - 0x2af unused
0x2b0 whitemarblearch stonework
# 0x2b1 - 0x2b4 unused
0x2b5 whitemarblewallp stonework
# 0x2b6 - 0x2c6 unused
0x2c7 largebattlement stonework
# 0x2c8 - 0x2cd unused
0x2ce halflargestonewall stonework
# 0x2cf - 0x3b2 unused
0x3b3 cerca woodworking
# 0x3b4 - 0x3dc unused
0x3dd [n/a] lighting
0x3de [n/a] lighting
# 0x3df - 0x3ed unused
0x3ee sandstonestair stonework
# 0x3ef - 0x41f unused
0x420 estandarte2 woodworking
# 0x421 - 0x437 unused
0x438 fancymarblesandstonearch stonework
# 0x439 - 0x441 unused
0x442 marbledandstonewallp stonework
# 0x443 - 0x445 unused
0x446 fancywhitemarblearch stonework
# 0x447 - 0x460 unused
0x461 SandStoneOven1 cooking
0x462 [n/a] lighting
0x463 SandStoneOven3 cooking
0x464 SandStoneOven4 cooking
0x465 SandStoneOven5 cooking
0x466 SandStoneOven6 cooking
# 0x467 - 0x469 unused
0x46a SandStoneOven7 cooking
0x46b [n/a] lighting
0x46c SandStoneOven9 cooking
0x46d SandStoneOven10 cooking
0x46e SandStoneOven11 cooking
0x46f SandStoneOven12 cooking
# 0x470 - 0x474 unused
0x475 [n/a] lighting
# 0x476 - 0x47a unused
0x47b [n/a] lighting
# 0x47c - 0x494 unused
0x495 whitemarblepaver stonework
# 0x496 - 0x49c unused
0x49d sandstonepaverlight stonework
0x49e sandstonepaverdark stonework
# 0x49f - 0x4fb unused
0x4fc flagstones stonework
# 0x4fd - 0x50c unused
0x50d marblesandstonefloor stonework
# 0x50e - 0x510 unused
0x511 greymarblefloor stonework
# 0x512 - 0x518 unused
0x519 stonepaversL stonework
# 0x51a - 0x51c unused
0x51d stonepaversM stonework
# 0x51e - 0x520 unused
0x521 stonepaversD stonework
# 0x522 - 0x524 unused
0x525 sandstonefloorlight stonework
# 0x526 - 0x52e unused
0x52f sandstonefloordark stonework
0x530 cavalete3 woodworking
0x531 cavalete4 woodworking
# 0x532 - 0x674 unused
0x675 [n/a] doors
0x676 [n/a] doors
0x677 [n/a] doors
0x678 [n/a] doors
0x679 [n/a] doors
0x67a [n/a] doors
0x67b [n/a] doors
0x67c [n/a] doors
0x67d [n/a] doors
0x67e [n/a] doors
0x67f [n/a] doors
0x680 [n/a] doors
0x681 [n/a] doors
0x682 [n/a] doors
0x683 [n/a] doors
0x684 [n/a] doors
0x685 [n/a] doors
0x686 [n/a] doors
0x687 [n/a] doors
0x688 [n/a] doors
0x689 [n/a] doors
0x68a [n/a] doors
0x68b [n/a] doors
0x68c [n/a] doors
0x68d [n/a] doors
0x68e [n/a] doors
0x68f [n/a] doors
0x690 [n/a] doors
0x691 [n/a] doors
0x692 [n/a] doors
0x693 [n/a] doors
0x694 [n/a] doors
0x695 [n/a] doors
0x696 [n/a] doors
0x697 [n/a] doors
0x698 [n/a] doors
0x699 [n/a] doors
0x69a [n/a] doors
0x69b [n/a] doors
0x69c [n/a] doors
0x69d [n/a] doors
0x69e [n/a] doors
0x69f [n/a] doors
0x6a0 [n/a] doors
0x6a1 [n/a] doors
0x6a2 [n/a] doors
0x6a3 [n/a] doors
0x6a4 [n/a] doors
0x6a5 portamadeirasimples doors
0x6a6 [n/a] doors
0x6a7 [n/a] doors
0x6a8 [n/a] doors
0x6a9 [n/a] doors
0x6aa [n/a] doors
0x6ab [n/a] doors
0x6ac [n/a] doors
0x6ad [n/a] doors
0x6ae [n/a] doors
0x6af [n/a] doors
0x6b0 [n/a] doors
0x6b1 [n/a] doors
0x6b2 [n/a] doors
0x6b3 [n/a] doors
0x6b4 [n/a] doors
0x6b5 [n/a] doors
0x6b6 [n/a] doors
0x6b7 [n/a] doors
0x6b8 [n/a] doors
0x6b9 [n/a] doors
0x6ba [n/a] doors
0x6bb [n/a] doors
0x6bc [n/a] doors
0x6bd [n/a] doors
0x6be [n/a] doors
0x6bf [n/a] doors
0x6c0 [n/a] doors
0x6c1 [n/a] doors
0x6c2 [n/a] doors
0x6c3 [n/a] doors
0x6c4 [n/a] doors
0x6c5 [n/a] doors
0x6c6 [n/a] doors
0x6c7 [n/a] doors
0x6c8 [n/a] doors
0x6c9 [n/a] doors
0x6ca [n/a] doors
0x6cb [n/a] doors
0x6cc [n/a] doors
0x6cd [n/a] doors
0x6ce [n/a] doors
0x6cf [n/a] doors
0x6d0 [n/a] doors
0x6d1 [n/a] doors
0x6d2 [n/a] doors
0x6d3 [n/a] doors
0x6d4 [n/a] doors
0x6d5 portamadeiraclara doors
0x6d6 [n/a] doors
0x6d7 [n/a] doors
0x6d8 [n/a] doors
0x6d9 [n/a] doors
0x6da [n/a] doors
0x6db [n/a] doors
0x6dc [n/a] doors
0x6dd [n/a] doors
0x6de [n/a] doors
0x6df [n/a] doors
0x6e0 [n/a] doors
0x6e1 [n/a] doors
0x6e2 [n/a] doors
0x6e3 [n/a] doors
0x6e4 [n/a] doors
0x6e5 portareforcada doors
0x6e6 [n/a] doors
0x6e7 [n/a] doors
0x6e8 [n/a] doors
0x6e9 [n/a] doors
0x6ea [n/a] doors
0x6eb [n/a] doors
0x6ec [n/a] doors
0x6ed [n/a] doors
0x6ee [n/a] doors
0x6ef [n/a] doors
0x6f0 [n/a] doors
0x6f1 [n/a] doors
0x6f2 [n/a] doors
0x6f3 [n/a] doors
0x6f4 [n/a] doors
# 0x6f5 - 0x708 unused
0x709 marblestair stonework
# 0x70a - 0x71d unused
0x71e stonestairs stonework
# 0x71f - 0x74f unused
0x750 fancystairs stonework
# 0x751 - 0x76b unused
0x76c sandstonestairc stonework
# 0x76d - 0x783 unused
0x784 cavestairs stonework
# 0x785 - 0x7bc unused
0x7bd plataforma woodworking
# 0x7be - 0x823 unused
0x824 [n/a] doors
0x825 [n/a] doors
0x826 [n/a] doors
0x827 [n/a] doors
0x828 [n/a] doors
0x829 [n/a] doors
0x82a [n/a] doors
0x82b [n/a] doors
0x82c [n/a] doors
0x82d [n/a] doors
0x82e [n/a] doors
0x82f [n/a] doors
0x830 [n/a] doors
0x831 [n/a] doors
0x832 [n/a] doors
0x833 [n/a] doors
# 0x834 - 0x838 unused
0x839 portaopequenos doors
0x83a [n/a] doors
0x83b [n/a] doors
0x83c [n/a] doors
0x83d [n/a] doors
0x83e [n/a] doors
0x83f [n/a] doors
0x840 [n/a] doors
0x841 [n/a] doors
0x842 [n/a] doors
0x843 [n/a] doors
0x844 [n/a] doors
0x845 [n/a] doors
0x846 [n/a] doors
0x847 [n/a] doors
0x848 [n/a] doors
# 0x849 - 0x84b unused
0x84c [n/a] doors
0x84d [n/a] doors
0x84e [n/a] doors
0x84f [n/a] doors
0x850 [n/a] doors
0x851 [n/a] doors
0x852 [n/a] doors
0x853 [n/a] doors
0x854 [n/a] doors
0x855 [n/a] doors
0x856 [n/a] doors
0x857 [n/a] doors
0x858 [n/a] doors
0x859 [n/a] doors
0x85a [n/a] doors
0x85b [n/a] doors
0x85c cerca2 woodworking
# 0x85d - 0x861 unused
0x862 cerca3 woodworking
# 0x863 - 0x865 unused
0x866 [n/a] doors
0x867 [n/a] doors
0x868 [n/a] doors
0x869 [n/a] doors
0x86a [n/a] doors
0x86b [n/a] doors
0x86c [n/a] doors
0x86d [n/a] doors
0x86e [n/a] doors
0x86f portaopequenoescuro doors
0x870 [n/a] doors
0x871 [n/a] doors
0x872 [n/a] doors
0x873 [n/a] doors
0x874 [n/a] doors
0x875 [n/a] doors
# 0x876 - 0x898 unused
0x899 escadaorc woodworking
# 0x89a - 0x89e unused
0x89f escada woodworking
# 0x8a0 - 0x8fc unused
0x8fd machadosduplosthuria combat
# 0x8fe - 0x914 unused
0x915 stonestep stonework
# 0x916 - 0x919 unused
0x91a Beehive farming
0x91b swarmofbees farming
# 0x91c - 0x92a unused
0x92b [n/a] lighting
0x92c StoneOven2 cooking
0x92d StoneOven3 cooking
0x92e StoneOven4 cooking
0x92f StoneOven5 cooking
0x930 [n/a] lighting
0x931 StoneOven7 cooking
0x932 StoneOven8 cooking
0x933 StoneOven9 cooking
0x934 StoneOven10 cooking
0x935 StoneOven11 cooking
# 0x936 unused
0x937 [n/a] lighting
# 0x938 - 0x944 unused
0x945 [n/a] lighting
# 0x946 - 0x952 unused
0x953 [n/a] lighting
# 0x954 - 0x960 unused
0x961 [n/a] lighting
# 0x962 - 0x975 unused
0x976 SlabOfBacon food
0x977 CookedSlabofBacon food
0x978 baconstrip1 food
0x979 baconstrip2 food
0x97a RawFishSteak cooking
0x97b CookedFishSteak food
0x97c wedgeOfCheese2 food
0x97d wedgeOfCheese food
0x97e WheelOfCheese food
# 0x97f - 0x98b unused
0x98c frenchbread food
# 0x98d - 0x990 unused
0x991 Tray cooking
0x992 Tray2 cooking
# 0x993 unused
0x994 Pear2 food
# 0x995 - 0x999 unused
0x99a goblet metalworking
0x99b bottleofliquor food
# 0x99c - 0x99e unused
0x99f bottleofale food
# 0x9a0 - 0x9a6 unused
0x9a7 emptypitcher food
0x9a8 StrongBox containers
0x9a9 SmallCrate containers
0x9aa WoodenBox containers
0x9ab SilverChest1 containers
# 0x9ac unused
0x9ad pitcherofmilk food
# 0x9ae - 0x9af unused
0x9b0 Pouch containers
0x9b1 basket containers
0x9b2 Backpack containers
# 0x9b3 unused
0x9b4 EggShells cooking
0x9b5 egg cooking
0x9b6 friedeggs food
0x9b7 cookedbird2 food
0x9b8 CookedBird food
0x9b9 RawBird cooking
0x9ba RawBird2 cooking
0x9bb RoastPig food
# 0x9bc - 0x9bf unused
0x9c0 sausage food
0x9c1 sausage2 food
# 0x9c2 - 0x9c6 unused
0x9c7 bottleofwine food
0x9c8 jugofcider food
0x9c9 ham food
# 0x9ca - 0x9cb unused
0x9cc fish1 survival
0x9cd fish2 survival
0x9ce fish3 survival
0x9cf fish4 survival
0x9d0 apple food
0x9d1 grapes1 food
0x9d2 peach2 food
0x9d3 ham2 food
# 0x9d4 - 0x9d5 unused
0x9d6 GinsengTea food
0x9d7 plate metalworking
0x9d8 sautedfish food
# 0x9d9 - 0x9df unused
0x9e0 ShallowPot cooking
0x9e1 SmallPan cooking
0x9e2 FryingPan cooking
0x9e3 ShallowPot2 cooking
0x9e4 MediumPan cooking
0x9e5 SmallPan2 cooking
# 0x9e6 - 0x9e8 unused
0x9e9 cake food
0x9ea muffin food
0x9eb triplemuffins food
0x9ec Honey cooking
0x9ed Kettle cooking
0x9ee mugofale food
0x9ef mugofaleold food
# 0x9f0 unused
0x9f1 RawRibs cooking
0x9f2 CookedRibs food
0x9f3 SmallKettle cooking
0x9f4 forkn metalworking
0x9f5 forkw metalworking
0x9f6 knifen metalworking
0x9f7 knifew metalworking
0x9f8 spoonn metalworking
0x9f9 spoonw metalworking
0x9fa doublemuffins food
0x9fb wallsconce3 lighting
# 0x9fc unused
0x9fd wallsconce4 lighting
# 0x9fe - 0x9ff unused
0xa00 wallsconce2 lighting
# 0xa01 unused
0xa02 wallsconce1 lighting
# 0xa03 - 0xa04 unused
0xa05 Torch5 lighting
# 0xa06 unused
0xa07 Torch6 lighting
# 0xa08 - 0xa09 unused
0xa0a Torch3 lighting
# 0xa0b unused
0xa0c Torch4 lighting
# 0xa0d - 0xa0e unused
0xa0f candle1 lighting
# 0xa10 - 0xa11 unused
0xa12 Torch2 lighting
# 0xa13 - 0xa14 unused
0xa15 lantern5 lighting
# 0xa16 - 0xa17 unused
0xa18 lantern6 lighting
# 0xa19 - 0xa1e unused
0xa1f [n/a] woodworking
# 0xa20 - 0xa21 unused
0xa22 lantern1 lighting
0xa23 lantern2 lighting
0xa24 lantern3 lighting
0xa25 lantern4 lighting
0xa26 candle4 lighting
0xa27 candelabra4 lighting
0xa28 candle2 lighting
0xa29 candelabra2 lighting
0xa2a banquinho woodworking
0xa2b banquinho2 woodworking
0xa2c BrownChestOfDrawers containers
# 0xa2d - 0xa2f unused
0xa30 CherryChestOfDrawers containers
# 0xa31 - 0xa33 unused
0xa34 BrownChestOfDrawers2 containers
# 0xa35 - 0xa37 unused
0xa38 CherryChestOfDrawers2 containers
# 0xa39 - 0xa3b unused
0xa3c FancyDresserRight containers
0xa3d FancyDresserLeft containers
# 0xa3e - 0xa43 unused
0xa44 FancyDresserLeft2 containers
0xa45 FancyDresserRight2 containers
# 0xa46 - 0xa4b unused
0xa4c OpenCherryArmoire containers
0xa4d CherryArmoire containers
0xa4e BrownArmoire containers
0xa4f OpenBrownArmoire containers
0xa50 OpenCherryArmoire2 containers
0xa51 CherryArmoire2 containers
0xa52 BrownArmoire2 containers
0xa53 OpenBrownArmoire2 containers
# 0xa54 - 0xa57 unused
0xa58 bedroll1 survival
0xa59 bedroll2 survival
0xa5a oasis survival
# 0xa5b - 0xa9c unused
0xa9d BookShelf containers
0xa9e BookShelf2 containers
# 0xa9f - 0xaff unused
0xb00 balcao woodworking
# 0xb01 - 0xb08 unused
0xb09 balcao2 woodworking
# 0xb0a - 0xb0c unused
0xb0d balcao3 woodworking
# 0xb0e - 0xb19 unused
0xb1a candle3 lighting
# 0xb1b - 0xb1c unused
0xb1d candelabra3 lighting
# 0xb1e - 0xb1f unused
0xb20 lamppost1 lighting
0xb21 lamppost2 lighting
0xb22 lamppost3 lighting
0xb23 lamppost4 lighting
0xb24 lamppost5 lighting
0xb25 lamppost6 lighting
0xb26 candelabra1 lighting
# 0xb27 - 0xb2b unused
0xb2c banco woodworking
# 0xb2d unused
0xb2e cadeiragrande woodworking
# 0xb2f - 0xb31 unused
0xb32 trono woodworking
# 0xb33 unused
0xb34 mesinha woodworking
# 0xb35 - 0xb3c unused
0xb3d mesagrande2 woodworking
# 0xb3e unused
0xb3f mesagrande woodworking
# 0xb40 - 0xb44 unused
0xb45 lvase
0xb46 smvase
0xb47 lvase2
0xb48 smvase2
0xb49 escrivaninha woodworking
# 0xb4a - 0xb4d unused
0xb4e cadeiraestofada woodworking
# 0xb4f - 0xb51 unused
0xb52 cadeiraestofada2 woodworking
# 0xb53 - 0xb55 unused
0xb56 cadeira woodworking
# 0xb57 - 0xb59 unused
0xb5a cadeira2 woodworking
# 0xb5b - 0xb5e unused
0xb5f banco2 woodworking
# 0xb60 - 0xb61 unused
0xb62 banco3 woodworking
# 0xb63 - 0xb6a unused
0xb6b mesa2 woodworking
# 0xb6c - 0xb6d unused
0xb6e mesa3 woodworking
# 0xb6f - 0xb74 unused
0xb75 mesa4 woodworking
# 0xb76 - 0xb90 unused
0xb91 bancogrande woodworking
# 0xb92 - 0xb96 unused
0xb97 suportedeplacas woodworking
# 0xb98 unused
0xb99 suportedeplacas2 woodworking
# 0xb9a - 0xbce unused
0xbcf placa1 woodworking
0xbd0 placa2 woodworking
0xbd1 placa3 woodworking
0xbd2 placa4 woodworking
# 0xbd3 - 0xc5b unused
0xc5c watermelon1 food
0xc5d watermelon2 food
# 0xc5e - 0xc63 unused
0xc64 yellowgourd1 food
0xc65 yellowgourd2 food
0xc66 greengourd1 food
0xc67 greengourd2 food
# 0xc68 - 0xc69 unused
0xc6a pumpkin cooking
0xc6b pumpkin2 cooking
0xc6c pumpkin3 cooking
0xc6d onion food
0xc6e onion2 food
# 0xc6f unused
0xc70 lettuce1 food
0xc71 lettuce2 food
0xc72 squash1 food
0xc73 squash2 food
0xc74 honeydew1 food
0xc75 honeydew2 food
# 0xc76 unused
0xc77 carrots food
0xc78 carrot food
0xc79 canteloupe1 food
0xc7a canteloupe2 food
0xc7b cabbage1 food
0xc7c cabbage2 food
# 0xc7d - 0xc81 unused
0xc82 corn food
# 0xc83 - 0xd15 unused
0xd16 cogumelo tn
# 0xd17 - 0xd19 unused
0xd1a grapes2 food
# 0xd1b - 0xd39 unused
0xd3a edibleturnip food
# 0xd3b - 0xdbe unused
0xdbf FishingPole survival
0xdc0 FishingPole2 survival
# 0xdc1 - 0xdc9 unused
0xdca fishingnet survival
# 0xdcb - 0xdd5 unused
0xdd6 fish5 survival
0xdd7 fish6 survival
0xdd8 fish7 survival
0xdd9 fish8 survival
0xdda RedMoonGate moongates
# 0xddb - 0xde0 unused
0xde1 kindling survival
0xde2 kindling2 survival
0xde3 campfire lighting
# 0xde4 - 0xdef unused
0xdf0 BlackStaff combat
# 0xdf1 unused
0xdf2 magicwand1 combat
0xdf3 magicwand2 combat
0xdf4 magicwand3 combat
0xdf5 magicwand4 combat
# 0xdf6 - 0xdf8 unused
0xdf9 cotton domesticwork
# 0xdfa - 0xdfd unused
0xdfe cuthair hair
# 0xdff - 0xe07 unused
0xe08 disguisekit disguise
# 0xe09 - 0xe16 unused
0xe17 Cards
# 0xe18 - 0xe1b unused
0xe1c tabuleirodegamao woodworking
# 0xe1d - 0xe1e unused
0xe1f yarn domesticwork
0xe20 bloody bandages medicine
0xe21 bandages medicine
# 0xe22 - 0xe2c unused
0xe2d Crystalball1 lighting
0xe2e Crystalball2 lighting
# 0xe2f - 0xe30 unused
0xe31 brazier1 lighting
# 0xe32 - 0xe33 unused
0xe34 blankscroll
# 0xe35 - 0xe3b unused
0xe3c LargeCrate2 containers
0xe3d LargeCrate containers
0xe3e MediumCrate2 containers
0xe3f MediumCrate containers
0xe40 MetalChest2 containers
0xe41 MetalChest containers
0xe42 WoodenChest2 containers
0xe43 WoodenChest containers
# 0xe44 - 0xe72 unused
0xe73 projetildecanhao metalworking
0xe74 pincelepaleta metalworking
0xe75 BackPackCore containers
0xe76 Bag containers
0xe77 openbarrel containers
# 0xe78 unused
0xe79 Mail containers
0xe7a picnicbasket containers
# 0xe7b unused
0xe7c SilverChest2 containers
0xe7d WoodenBox2 containers
0xe7e SmallCrate2 containers
0xe7f barrica woodworking
0xe80 StrongBox2 containers
0xe81 ShepherdsCrook combat
# 0xe82 unused
0xe83 balde woodworking
# 0xe84 unused
0xe85 Pickaxe combat
# 0xe86 unused
0xe87 Pitchfork combat
# 0xe88 - 0xe89 unused
0xe8a Quarterstaff combat
# 0xe8b - 0xe9a unused
0xe9b Mortar alchemy
0xe9c Drum musicianship
0xe9d Tambourine musicianship
0xe9e Tambourine2 musicianship
0xe9f Retrato0 quadros
0xea0 QuadroGrande2 quadros
0xea1 Retrato1 quadros
# 0xea2 - 0xea5 unused
0xea6 Retrato2 quadros
0xea7 Retrato3 quadros
# 0xea8 - 0xeb0 unused
0xeb1 standingharp musicianship
0xeb2 harp musicianship
0xeb3 lute musicianship
0xeb4 lute2 musicianship
0xeb5 partiturapequena woodworking
# 0xeb6 - 0xeb8 unused
0xeb9 partituragrande woodworking
# 0xeba - 0xec1 unused
0xec2 Cleaver combat
# 0xec3 unused
0xec4 SkinningKnife combat
# 0xec5 - 0xec9 unused
0xeca bones9 containers
0xecb bones8 containers
0xecc bones7 containers
0xecd bones6 containers
0xece bones5 containers
0xecf bones4 containers
0xed0 bones3 containers
0xed1 bones2 containers
0xed2 bones containers
# 0xed3 - 0xeec unused
0xeed GoldCoin metalworking
# 0xeee - 0xef9 unused
0xefa Spellbook magery
# 0xefb - 0xf0d unused
0xf0e EmptyBottle alchemy
0xf0f starsapphire gems
0xf10 emerald gems
0xf11 sapphire gems
# 0xf12 unused
0xf13 ruby gems
# 0xf14 unused
0xf15 citrine gems
0xf16 amethyst gems
# 0xf17 unused
0xf18 tourmaline gems
# 0xf19 - 0xf24 unused
0xf25 amber gems
# 0xf26 - 0xf2f unused
0xf30 diamond gems
# 0xf31 - 0xf36 unused
0xf37 seladecavalo woodworking
0xf38 seladecavalo2 woodworking
0xf39 Shovel gathering
# 0xf3a - 0xf3e unused
0xf3f arrow woodworking
# 0xf40 - 0xf42 unused
0xf43 Hatchet combat
# 0xf44 unused
0xf45 ExecutionersAxe combat
# 0xf46 unused
0xf47 BattleAxe combat
# 0xf48 unused
0xf49 Axe combat
# 0xf4a unused
0xf4b ThrowingAxe combat
0xf4c DoubleAxe combat
# 0xf4d unused
0xf4e Bardiche combat
0xf4f Crossbow combat
# 0xf50 unused
0xf51 Dagger combat
# 0xf52 - 0xf5b unused
0xf5c Mace combat
# 0xf5d - 0xf5e unused
0xf5f Rapier combat
0xf60 longsword combat
# 0xf61 - 0xf62 unused
0xf63 Spear combat
0xf64 Torch1 lighting
0xf65 cavalete woodworking
# 0xf66 - 0xf6b unused
0xf6c BlueMoonGate moongates
# 0xf6d - 0xf70 unused
0xf71 cavalete2 woodworking
# 0xf72 - 0xf77 unused
0xf78 BatWing alchemy
0xf79 BlackMoor alchemy
0xf7a BlackPearl alchemy
0xf7b BloodMoss alchemy
0xf7c BloodSpawn alchemy
0xf7d BloodReagent alchemy
0xf7e Bone alchemy
0xf7f Brimstone alchemy
0xf80 daemonbone alchemy
0xf81 FertileDirt alchemy
0xf82 DragonBlood alchemy
0xf83 ExecutionersCap alchemy
0xf84 Garlic alchemy
0xf85 Ginseng alchemy
0xf86 MandrakeRoot alchemy
0xf87 EyeOfNewt alchemy
0xf88 NightShade alchemy
0xf89 Obsidian alchemy
0xf8a PigIron alchemy
0xf8b Pumice alchemy
0xf8c SulphurousAsh alchemy
0xf8d SpiderSilk alchemy
0xf8e SerpentScale alchemy
0xf8f VolcanicAsh alchemy
0xf90 Deadwood alchemy
0xf91 WormHeart alchemy
# 0xf92 - 0xf94 unused
0xf95 bolt1 domesticwork
0xf96 bolt2 domesticwork
0xf97 bolt3 domesticwork
0xf98 bolt4 domesticwork
0xf99 bolt5 domesticwork
0xf9a bolt6 domesticwork
0xf9b bolt7 domesticwork
0xf9c bolt8 domesticwork
0xf9d SewingKit domesticwork
0xf9e Scissors domesticwork
# 0xf9f unused
0xfa0 Thread1 domesticwork
0xfa1 fechadura metalworking
# 0xfa2 - 0xfa5 unused
0xfa6 tabuleirodexadrez woodworking
# 0xfa7 - 0xfa8 unused
0xfa9 dyes dyes
0xfaa tabuleirodedamas woodworking
0xfab dyetub dyes
0xfac firepit lighting
# 0xfad unused
0xfae barrel containers
# 0xfaf - 0xfb0 unused
0xfb1 smallforge gathering
# 0xfb2 - 0xfb3 unused
0xfb4 sledgehammer combat
0xfb5 sledgehammer2 combat
0xfb6 Horseshoes farming
# 0xfb7 - 0xfba unused
0xfbb tongs metalworking
0xfbc tongs2 metalworking
# 0xfbd - 0xfbe unused
0xfbf caneta e tinteiro fls_core
0xfc0 cordaescalada traps
# 0xfc1 - 0xfc4 unused
0xfc5 blueshell alchemy
# 0xfc6 - 0xfee unused
0xfef book1 sysbook
0xff0 book2 sysbook
0xff1 book3 sysbook
0xff2 book4 sysbook
0xff3 book5 sysbook
0xff4 book6 sysbook
0xff5 carta sysbook
0xff6 Sinete sysbook
# 0xff7 - 0xff9 unused
0xffa FilledWaterBucket water
0xffb water water
# 0xffc - 0xfff unused
0x1000 pewtermug metalworking
# 0x1001 - 0x1003 unused
0x1004 barreltap woodworking
# 0x1005 - 0x1009 unused
0x100a ArcheryButte training
0x100b ArcheryButte2 training
# 0x100c - 0x100d unused
0x100e CopperKey keys
0x100f GoldKey keys
0x1010 IronKey keys
0x1011 KeyRing keys
0x1012 MagicKey keys
0x1013 RustyKey keys
# 0x1014 unused
0x1015 rodadefiar woodworking
# 0x1016 - 0x1021 unused
0x1022 fletchtools woodworking
0x1023 fletchtools2 woodworking
# 0x1024 - 0x1027 unused
0x1028 Dovetailsaw woodworking
# 0x1029 unused
0x102a Hammer woodworking
# 0x102b unused
0x102c mouldingplane woodworking
# 0x102d - 0x102f unused
0x1030 Jointingplane fls_carpentry
# 0x1031 unused
0x1032 Smoothingplane woodworking
# 0x1033 unused
0x1034 saw woodworking
0x1035 saw2 woodworking
# 0x1036 - 0x1038 unused
0x1039 Flour cooking
